spot,maturity,price,delta,gamma,vega,payoff
107.5,2,21.6261,0.773573,0.00989906,45.7584,7.5
108,2,22.0142,0.778481,0.00973132,45.4024,8
108.5,2,22.4046,0.783305,0.00956461,45.0388,8.5
109,2,22.7974,0.788046,0.00939903,44.6679,9
109.5,2,23.1926,0.792704,0.00923462,44.2901,9.5
110,2,23.5901,0.797281,0.00907146,43.9058,10
110.5,2,23.9899,0.801776,0.0089096,43.5154,10.5
111,2,24.3919,0.80619,0.00874911,43.1191,11
111.5,2,24.7961,0.810525,0.00859004,42.7174,11.5
112,2,25.2024,0.814781,0.00843244,42.3106,12
112.5,2,25.6109,0.818958,0.00827635,41.899,12.5
113,2,26.0214,0.823057,0.00812183,41.483,13
113.5,2,26.4339,0.82708,0.00796891,41.063,13.5
114,2,26.8484,0.831027,0.00781762,40.6391,14
114.5,2,27.2649,0.834898,0.00766802,40.2118,14.5
115,2,27.6833,0.838695,0.00752012,39.7814,15
115.5,2,28.1036,0.842418,0.00737396,39.3482,15.5
116,2,28.5257,0.846069,0.00722956,38.9124,16
116.5,2,28.9497,0.849648,0.00708695,38.4743,16.5
117,2,29.3754,0.853156,0.00694615,38.0343,17
117.5,2,29.8028,0.856595,0.00680717,37.5926,17.5
118,2,30.2319,0.859964,0.00667005,37.1495,18
118.5,2,30.6627,0.863265,0.00653478,36.7052,18.5
119,2,31.0952,0.866499,0.00640139,36.2601,19
119.5,2,31.5292,0.869667,0.00626989,35.8142,19.5
120,2,31.9648,0.872769,0.00614027,35.368,20
