spot,maturity,price,delta,gamma,vega,payoff
82.5,0.1,0.0024964,0.00168943,0.00104228,0.14188,0
83,0.1,0.00348407,0.00228806,0.00136454,0.188007,0
83.5,0.1,0.00481455,0.00306742,0.0017675,0.24647,0
84,0.1,0.00658889,0.00407141,0.00226559,0.31972,0
84.5,0.1,0.00893192,0.00535144,0.00287427,0.41046,0
85,0.1,0.0119962,0.00696681,0.00360971,0.521604,0
85.5,0.1,0.0159658,0.00898503,0.00448841,0.656228,0
86,0.1,0.0210609,0.0114818,0.0055266,0.817494,0
86.5,0.1,0.0275413,0.0145408,0.00673969,1.00856,0
87,0.1,0.0357105,0.018253,0.00814156,1.23247,0
87.5,0.1,0.0459193,0.0227158,0.00974383,1.49202,0
88,0.1,0.0585685,0.0280316,0.011555,1.78965,0
88.5,0.1,0.0741108,0.0343065,0.01358,2.12724,0
89,0.1,0.0930526,0.0416473,0.0158189,2.50603,0
89.5,0.1,0.115953,0.0501602,0.0182668,2.92644,0
90,0.1,0.143425,0.0599473,0.0209134,3.38797,0
90.5,0.1,0.176129,0.071104,0.023742,3.88906,0
91,0.1,0.214772,0.0837159,0.0267302,4.42705,0
91.5,0.1,0.2601,0.097856,0.0298494,4.99813,0
92,0.1,0.312892,0.113581,0.0330655,5.59732,0
92.5,0.1,0.373952,0.130931,0.0363392,6.21854,0
93,0.1,0.444097,0.149923,0.0396269,6.85466,0
93.5,0.1,0.524148,0.170553,0.0428819,7.49768,0
94,0.1,0.614918,0.192791,0.0460551,8.13886,0
94.5,0.1,0.717199,0.216586,0.0490969,8.76894,0
95,0.1,0.83175,0.241858,0.0519579,9.3784,0
95.5,0.1,0.959286,0.268506,0.0545909,9.95765,0
96,0.1,1.10046,0.296404,0.056952,10.4974,0
96.5,0.1,1.25587,0.325406,0.0590016,10.9888,0
97,0.1,1.42603,0.355348,0.0607061,11.4237,0
97.5,0.1,1.61135,0.38605,0.0620383,11.795,0
98,0.1,1.81217,0.41732,0.0629783,12.0969,0
98.5,0.1,2.02873,0.448961,0.0635141,12.3246,0
99,0.1,2.26116,0.480766,0.0636414,12.475,0
99.5,0.1,2.50949,0.512534,0.063364,12.5464,0
100,0.1,2.77365,0.544065,0.0626931,12.5386,0
100.5,0.1,3.05348,0.575165,0.0616471,12.453,0.5
101,0.1,3.34872,0.605654,0.0602506,12.2923,1
101.5,0.1,3.65901,0.635362,0.0585335,12.0605,1.5
102,0.1,3.98392,0.664139,0.0565303,11.7628,2
102.5,0.1,4.32297,0.691851,0.0542787,11.4053,2.5
103,0.1,4.67558,0.718383,0.0518186,10.9949,3
103.5,0.1,5.04114,0.743642,0.0491913,10.539,3.5
104,0.1,5.419,0.767554,0.0464377,10.0454,4
104.5,0.1,5.80846,0.790065,0.0435984,9.5221,4.5
105,0.1,6.20882,0.811144,0.0407118,8.97696,5
105.5,0.1,6.61936,0.830775,0.0378143,8.41766,5.5
106,0.1,7.03936,0.848962,0.034939,7.8515,6
106.5,0.1,7.46809,0.865723,0.0321156,7.28527,6.5
107,0.1,7.90485,0.881091,0.0293702,6.72518,7
107.5,0.1,8.34895,0.89511,0.0267246,6.17673,7.5
108,0.1,8.79974,0.907835,0.0241971,5.64471,8
108.5,0.1,9.25658,0.919329,0.0218019,5.13314,8.5
109,0.1,9.71888,0.929661,0.0195493,4.6453,9
109.5,0.1,10.1861,0.938903,0.0174464,4.18373,9.5
110,0.1,10.6576,0.947133,0.015497,3.75027,10
110.5,0.1,11.133,0.954426,0.013702,3.34609,10.5
111,0.1,11.6119,0.96086,0.0120599,2.9718,11
111.5,0.1,12.0938,0.966511,0.0105671,2.62745,11.5
112,0.1,12.5783,0.971451,0.00921815,2.31265,12
112.5,0.1,13.0651,0.975752,0.00800642,2.02662,12.5
113,0.1,13.5539,0.979479,0.00692411,1.76828,13
113.5,0.1,14.0445,0.982696,0.00596276,1.53628,13.5
114,0.1,14.5366,0.985461,0.00511345,1.32909,14
114.5,0.1,15.0299,0.987827,0.00436705,1.14506,14.5
115,0.1,15.5243,0.989843,0.00371445,0.982473,15
115.5,0.1,16.0197,0.991555,0.00314673,0.839562,15.5
116,0.1,16.5158,0.993003,0.00265524,0.714578,16
116.5,0.1,17.0127,0.994222,0.00223179,0.605807,16.5
117,0.1,17.51,0.995245,0.00186866,0.511601,17
117.5,0.1,18.0079,0.996099,0.00155868,0.43039,17.5
118,0.1,18.5061,0.996811,0.00129526,0.360703,18
118.5,0.1,19.0047,0.997401,0.00107238,0.301173,18.5
119,0.1,19.5035,0.997889,0.000884627,0.250544,19
119.5,0.1,20.0025,0.998291,0.000727124,0.20767,19.5
120,0.1,20.5018,0.998621,0.000595546,0.171517,20
80,0.2,0.0227705,0.00968595,0.00362239,0.927331,0
80.5,0.2,0.0280907,0.0116452,0.00422644,1.09554,0
81,0.2,0.034469,0.0139245,0.0049029,1.28672,0
81.5,0.2,0.0420747,0.0165608,0.00565551,1.50261,0
82,0.2,0.0510959,0.0195932,0.00648745,1.74487,0
82.5,0.2,0.0617406,0.0230619,0.0074012,2.01498,0
83,0.2,0.0742374,0.0270083,0.00839839,2.31426,0
83.5,0.2,0.0888355,0.0314743,0.00947974,2.6438,0
84,0.2,0.105805,0.036502,0.0106449,3.00442,0
84.5,0.2,0.125438,0.042133,0.0118924,3.3966,0
85,0.2,0.148046,0.0484077,0.0132197,3.82048,0
85.5,0.2,0.17396,0.0553653,0.0146227,4.27582,0
86,0.2,0.203531,0.0630422,0.0160964,4.76196,0
86.5,0.2,0.237127,0.0714724,0.0176343,5.27776,0
87,0.2,0.275134,0.0806859,0.0192287,5.82168,0
87.5,0.2,0.317948,0.090709,0.0208708,6.39168,0
88,0.2,0.365981,0.101563,0.0225506,6.98526,0
88.5,0.2,0.419653,0.113264,0.024257,7.59948,0
89,0.2,0.479388,0.125823,0.0259783,8.23098,0
89.5,0.2,0.545619,0.139243,0.0277019,8.87597,0
90,0.2,0.618774,0.153523,0.0294146,9.53034,0
90.5,0.2,0.699283,0.168653,0.031103,10.1896,0
91,0.2,0.787567,0.184619,0.0327532,10.8492,0
91.5,0.2,0.884038,0.201398,0.0343517,11.5041,0
92,0.2,0.989095,0.21896,0.0358851,12.1493,0
92.5,0.2,1.10312,0.23727,0.0373403,12.7797,0
93,0.2,1.22648,0.256285,0.0387049,13.3903,0
93.5,0.2,1.35952,0.275958,0.0399674,13.9762,0
94,0.2,1.50254,0.296234,0.0411172,14.5324,0
94.5,0.2,1.65584,0.317055,0.0421447,15.0545,0
95,0.2,1.81968,0.338357,0.0430418,15.5381,0
95.5,0.2,1.99427,0.360074,0.0438017,15.9793,0
96,0.2,2.17981,0.382135,0.0444188,16.3745,0
